"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"A",2018,"Monday",,2.2,2,1.7,1.6,1.5,1.3,1.2,2.1,2.4,3.7,4.2,4.7,4.7,4.2,5,4.7,5.2,5.7,5.5,5.7,4.6,4.1,3.3,2.7
"A",2018,"Tuesday",,2.9,2.2,1.7,1.7,1.3,1.1,1.4,2,1.7,3.5,3.5,4,4.4,4.1,4.2,4.4,4.6,5.6,5.8,5.3,4.3,4.3,3,2.4
"A",2018,"Wednesday",,2.6,1.8,1.3,1.8,1.4,1.3,1,1.3,1.9,2.5,3.5,3.7,3.7,4.2,4.2,4.3,5,5.5,5,5,4.8,4.1,3.1,2.4
"A",2018,"Thursday",,2.3,1.8,1.7,1.6,1.5,1.2,1.1,1.6,2.1,2.8,3.6,3.8,3.9,4,4,4,4.1,4.6,5.3,5,4.2,3.5,3.1,3.1
"A",2018,"Friday",,2.3,1.8,1.5,1.3,1.2,0.9,1.2,1.6,1.5,2.8,3.5,3.9,4.2,4,4.1,4.2,4.7,4.7,5,4.9,4,3.3,3.3,2.6
"A",2018,"Saturday",,2.1,1.8,1.3,1.5,0.9,1,1.1,1.4,1.8,3.1,4,4.4,4,3.9,4.2,4,3.5,4.6,3.5,3.9,3.5,3.3,3,2.6
"A",2018,"Sunday",,2.5,2.2,2.1,1.6,1.2,1,1.2,1.5,1.7,3.1,4.3,4.2,4.1,4.1,5,4.5,3.5,4.2,3.7,4.9,3.7,3.2,3.2,2.3
"B",2018,"Monday",,4.5,3.5,2.3,2,1.8,2.4,2.9,4.3,6.8,8.8,10.2,10.8,10.2,10.1,9.2,9.3,10,10.2,10.1,8.8,21.7,7.3,5.8,4
"B",2018,"Tuesday",,5,3,2.2,2.1,1.9,2.3,2.6,4,6.8,8.8,9.7,10,9.3,10.3,8.4,8.9,9.3,9.7,9.3,9,19.2,7.3,6.1,4.8
"B",2018,"Wednesday",,4.4,3.4,2.2,2.4,1.7,1.7,2.9,4.3,6,8,9.1,9.1,8.8,9,8.9,8.8,9.7,9.2,9,9.1,20.2,7,5.9,3.9
"B",2018,"Thursday",,4.5,2.8,2.3,1.7,1.9,2.3,2.4,4.2,6.5,8,8.8,8.6,9.6,9.4,9.1,7.8,9.2,9,8.8,8.7,21.1,7.3,5.8,4.8
