"Department Profile","Year","Date","Event","Admit Rate","LWBS Rate","Total LOS","DC LOS","Admit LOS","Arrival to Provider","Provider to Decision","Decision to Depart","DC Decision to Depart","Admit Decision to Depart"
"A",2018,"Monday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Tuesday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Wednesday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Thursday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Friday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Saturday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"A",2018,"Sunday",,"11.00%","0.50%",2.7,2.433,4.367,0.217,1.983,0.267,0.233,2.167
"B",2018,"Monday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Tuesday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Wednesday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Thursday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Friday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Saturday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"B",2018,"Sunday",,"24.02%","1.30%",3.417,2.967,4.567,0.167,2.2,0.4,0.6,2.2
"C",2018,"Monday",,,,,,,,,,,
"C",2018,"Tuesday",,,,,,,,,,,
"C",2018,"Wednesday",,,,,,,,,,,
"C",2018,"Thursday",,,,,,,,,,,
"C",2018,"Friday",,,,,,,,,,,
"C",2018,"Saturday",,,,,,,,,,,
"C",2018,"Sunday",,,,,,,,,,,
"D",2018,"Monday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Tuesday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Wednesday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Thursday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Friday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Saturday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Sunday",,"13.75%","2.20%",2.633,2.383,4.15,0.2,1.717,0.35,0.467,2.233
"D",2018,"Monday","Summerfest",,,,,,,,,,
"D",2018,"Tuesday","Summerfest",,,,,,,,,,
"D",2018,"Wednesday","Summerfest",,,,,,,,,,
"D",2018,"Thursday","Summerfest",,,,,,,,,,
"D",2018,"Friday","Summerfest",,,,,,,,,,
"D",2018,"Saturday","Summerfest",,,,,,,,,,
"D",2018,"Sunday","Summerfest",,,,,,,,,,
"E",2018,"Monday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Tuesday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Wednesday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Thursday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Friday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Saturday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"E",2018,"Sunday",,"27.16%","0.60%",2.833,2.483,3.567,0.15,1.833,0.467,0.5,1.583
"F",2018,"Monday",,,,,,,,,,,
"F",2018,"Tuesday",,,,,,,,,,,
"F",2018,"Wednesday",,,,,,,,,,,
"F",2018,"Thursday",,,,,,,,,,,
"F",2018,"Friday",,,,,,,,,,,
"F",2018,"Saturday",,,,,,,,,,,
"F",2018,"Sunday",,,,,,,,,,,
"G",2018,"Monday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Tuesday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Wednesday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Thursday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Friday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Saturday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"G",2018,"Sunday",,"18.75%","0.30%",3.183,2.95,4.4,0.367,2.017,0.333,0.567,2.017
"H",2018,"Monday",,,,,,,,,,,
"H",2018,"Tuesday",,,,,,,,,,,
"H",2018,"Wednesday",,,,,,,,,,,
"H",2018,"Thursday",,,,,,,,,,,
"H",2018,"Friday",,,,,,,,,,,
"H",2018,"Saturday",,,,,,,,,,,
"H",2018,"Sunday",,,,,,,,,,,
"I",2018,"Monday",,,,,,,,,,,
"I",2018,"Tuesday",,,,,,,,,,,
"I",2018,"Wednesday",,,,,,,,,,,
"I",2018,"Thursday",,,,,,,,,,,
"I",2018,"Friday",,,,,,,,,,,
"I",2018,"Saturday",,,,,,,,,,,
"I",2018,"Sunday",,,,,,,,,,,
"J",2018,"Monday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Tuesday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Wednesday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Thursday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Friday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Saturday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
"J",2018,"Sunday",,"11.56%","0.10%",1.883,1.7,3.233,0.183,1.2,0.3,0.317,1.85
