"Department Profile","Year","Date","Event","12:00:00 AM","01:00:00 AM","02:00:00 AM","03:00:00 AM","04:00:00 AM","05:00:00 AM","06:00:00 AM","07:00:00 AM","08:00:00 AM","09:00:00 AM","10:00:00 AM","11:00:00 AM","12:00:00 PM","01:00:00 PM","02:00:00 PM","03:00:00 PM","04:00:00 PM","05:00:00 PM","06:00:00 PM","07:00:00 PM","08:00:00 PM","09:00:00 PM","10:00:00 PM","11:00:00 PM"
"A",2018,"Monday",,6.2,5.6,4.2,4.3,4,3.5,3.4,5,5.9,8.9,9.3,11.4,11.3,10.5,12.5,11.7,12.9,13.2,13.1,13.2,10.7,9.7,8.7,7.5
"A",2018,"Tuesday",,8.2,5.9,4.2,3.7,3.3,3.4,3.7,5.7,3.9,8.1,8.5,9.5,11,10.3,10.8,11.1,10.7,12.8,13.3,12.5,10,10.6,8.1,6.2
"A",2018,"Wednesday",,7,5.1,3.4,5.2,3.4,3.9,2.7,3.6,4.9,6.2,8.9,9.4,9.3,10.5,10.8,10.6,12.2,12.3,11.6,11.8,11.9,9.5,8.1,6.1
"A",2018,"Thursday",,6.3,4.7,4.5,3.8,4.2,3.3,2.8,4.5,5.7,6.3,8.1,8.6,9.4,9.8,10.3,10.2,10.1,10.9,12.6,11,10.4,8.9,8.6,7.9
"A",2018,"Friday",,6.4,5,4.1,3.4,3.1,2,2.9,3.9,3.6,6.3,7.8,8.8,11.1,10.3,10.6,10.2,11.3,10.8,12.1,11.7,10,8.4,8.1,7.3
"A",2018,"Saturday",,5.2,4.8,3.6,3.9,2.5,2.9,2.9,3.7,4.3,7.3,8.2,10.2,9,9.9,9.9,9.6,8,11.2,8.8,8.9,8.5,8.7,7.6,6.6
"A",2018,"Sunday",,6.7,6,5.9,4.3,3.5,3.3,3.5,3.8,4.1,6.9,9.5,9.8,8.7,10,12.1,11,8.4,11,8.9,11.2,8.4,7.8,8,6
"B",2018,"Monday",,13.9,10.3,7.2,6.2,5.6,7.3,9.3,13.9,21.7,26.3,31.5,34.1,31.4,30.9,28.5,28.8,31.2,30.5,29.3,25,62.5,20.1,16.4,10.9
"B",2018,"Tuesday",,14.7,9.6,6.9,6.3,5.9,7.9,8.1,13,21.8,27.3,31.5,32,29.4,32.6,26.7,27.7,28.3,28,27.5,25.5,54.4,20,17.1,13.5
"B",2018,"Wednesday",,13.4,9.9,7.3,8.1,5.5,5.1,9.1,13.4,18.5,25.1,28.7,29,28,28.4,27.6,28.6,29.8,27.6,26.7,25.4,59,19.6,17.4,11.9
"B",2018,"Thursday",,14,7.9,7.2,5,5.8,7.4,7.8,13.3,21,24.6,28.2,27.2,30.1,28.8,27.5,25.3,28,27.1,26,25.7,59.7,21.8,16.9,14.2
"B",2018,"Friday",,14.8,9.4,6,5.2,7.9,6.7,8.1,12.5,17.2,22.9,26,31.1,28.3,26.9,27.5,25.9,28.4,26.7,27.8,28.1,54.8,20.4,20.9,13.2
"B",2018,"Saturday",,17.6,10,8,7.3,6.2,5.9,7.1,10.3,14.7,20.9,27.6,26.2,28.6,26.7,25.2,24.3,23.3,22.1,22.4,20.5,54,21.2,18.6,14.3
"B",2018,"Sunday",,17.2,11.7,7.9,6.6,7.6,7.4,9.1,11.7,16.8,20.9,23.6,28,26,25,24.8,24.7,24.9,21,23.4,24.4,56.8,20.3,18,14
"C",2018,"Monday",,7.3,5.4,4.2,4.1,4.6,4.4,7.2,9.7,11,13.9,15.8,17.4,15.3,14.8,12.1,13.9,14.2,13.3,11.2,13.3,10.1,8.9,6.1,6.5
"C",2018,"Tuesday",,8.8,5.7,3.9,3,4.2,3.8,6.5,9.4,10.9,11.7,13.4,13.8,14,13.6,13.6,12.7,15.7,12.8,13.8,12.4,12.2,11.2,7.2,5
"C",2018,"Wednesday",,8.4,4.6,3.2,2.4,3.7,3.5,7.1,8.6,9.7,13.6,14.2,14.1,16.1,13.1,14.7,13.2,14.2,14,14.3,11.3,12.9,10.7,6.8,5.9
"C",2018,"Thursday",,8.8,4.9,2.8,3.5,3.9,3.8,6.7,6.8,11.1,13,11.9,11.9,13.9,14.6,12.8,14.3,13.3,14.6,12.2,10.8,11.4,9.3,7.9,6.3
"C",2018,"Friday",,8.2,4.2,3.8,3.2,3.5,2.8,4.9,9.1,9.5,11,12.8,14.7,15.1,14.2,13.8,13.8,14.3,13.3,11.9,11.9,10.6,8.5,6.8,5.4
"C",2018,"Saturday",,8.8,5.4,2.8,3.1,3.8,2.6,5.5,7.1,10.1,12.4,13.6,15.4,14.2,12.5,10.3,12,12.6,10.9,11.6,11.2,9.8,8.2,7.3,6.1
"C",2018,"Sunday",,8.1,4.3,3.3,4,4.3,2.5,7.3,7.9,9,11.7,14.2,11.9,13.7,13.3,11.1,12.6,14.1,11,11.3,11.7,11.4,9.3,8.9,5.8
"D",2018,"Monday",,13.9,12.7,11,9.9,9.1,11.2,10.6,17.7,19.8,25.7,29.2,31.3,29.8,28.4,28.7,23.7,25.6,26.4,24.8,22.6,21.7,21.4,18.4,15.4
"D",2018,"Tuesday",,13.4,12.4,8.2,10.4,8.5,9.3,13,16.5,22.2,25.3,26.2,27.6,26.6,26.4,24.9,24.8,24.9,23.9,25.1,22.2,20.8,20,15,15.7
"D",2018,"Wednesday",,15.2,14.4,12,8.9,9.5,9.4,8.7,15.2,18.9,24.2,25.5,30.9,27.1,25.1,24.9,23.5,22.9,23.3,25.3,22.9,24.1,19.1,18,15
"D",2018,"Thursday",,16.1,13.8,9.7,10.7,9.9,9.3,10.1,15.4,18.5,24,24.3,27.8,24,24.2,25.2,23.1,22,23.9,22.5,20.6,20.8,18.9,18.6,15.4
"D",2018,"Friday",,14.4,12.9,11,9.7,8.8,8.8,9.8,14.4,18.3,21.4,24.5,29.8,27.3,25.1,24.2,21.9,24.5,23.1,22.8,21.3,19.9,19.1,17.8,15.4
"D",2018,"Saturday",,18,13.7,10.2,12.7,11.2,11.3,9.4,13.2,17.2,20.7,23.7,27,23.3,23.4,22.1,21.7,21.3,20.9,19.4,20.9,17.9,21,16.6,16.3
"D",2018,"Sunday",,17.2,13.1,12.3,13.4,10.9,10.7,8.3,14.5,18.4,21.6,23.4,25.3,22.8,25,23.9,22.7,22.1,22.4,20.4,19.7,18.7,22.4,16.1,15.7
"D",2018,"Monday","Summerfest",20.7,12.2,7.6,1.3,5.1,14.3,8.2,28,6.8,11.5,35.4,40.5,15.1,33.6,48.3,13.7,29.3,32.4,23.4,46.5,20.7,16.6,24.4,23.7
"D",2018,"Tuesday","Summerfest",16.6,26.3,0,4,2.6,8,9,1.3,11,37.2,34,42.5,24.3,25.7,33,29.8,53.6,18.6,25,29.5,19.9,25.3,17.8,35.1
"D",2018,"Wednesday","Summerfest",18.3,5.3,10.4,3.8,3.2,19.6,4.3,8.5,14.8,18.9,30.3,19.7,18.4,22.4,27.9,28.3,17,26.2,29.3,23.9,38.9,26.8,27.8,22.4
"D",2018,"Thursday","Summerfest",20,9.2,6.2,4.6,5.2,5.7,7.1,13.5,12.1,20.9,11.2,36.1,29.9,27.2,29.5,23.8,19,31,30.2,12.9,25.2,20.6,24.1,27
