"Provider Profiles","Contacts 1","Contacts 2","Contacts 3","Contacts 4","Contacts 5","Contacts 6","Contacts 7","Contacts 8","Contacts 9","Contacts 10","Contacts 11","Contacts 12","Contacts 13","Contacts 14","Contacts 15","Contacts 16","Contacts 17","Contacts 18","Contacts 19","Contacts 20","Contacts 21","Contacts 22","Contacts 23","Contacts 24",,"Decisions 1","Decisions 2","Decisions 3","Decisions 4","Decisions 5","Decisions 6","Decisions 7","Decisions 8","Decisions 9","Decisions 10","Decisions 11","Decisions 12","Decisions 13","Decisions 14","Decisions 15","Decisions 16","Decisions 17","Decisions 18","Decisions 19","Decisions 20","Decisions 21","Decisions 22","Decisions 23","Decisions 24","Average of Arrival to Provider Hrs","Average of Provider to Decision Hrs","Average of Decision to Depart Hrs","Admit %","Discharge %"
"D",2.579,2.036,1.745,1.933,1.738,1.533,1.021,0.565,0.278,0.16,0.032,0.043,0.025,0.008,0,0,0,0,0,0,0,0,0,0,,0.656,1.28,1.601,1.746,1.86,1.783,1.717,1.811,1.401,0.568,0.355,0.148,0.083,0.021,0.021,0,0,0,0,0,0,0,0,0,0.578,2.97,0.793,,
"D - APP - /Robot",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,0.942,1.522,1.623,1.661,1.843,1.674,1.576,1.634,0.929,0.861,0.415,0.208,0.167,0.042,0.042,0,0,0,0,0,0,0,0,0,0.625,1.841,0.646,,
"D - APP - 2018",2.522,2.02,1.727,1.899,1.735,1.587,1.064,0.596,0.268,0.221,0.036,0.057,0.049,0.016,0,0,0,0,0,0,0,0,0,0,,0.942,1.522,1.623,1.661,1.843,1.674,1.576,1.634,0.929,0.861,0.415,0.208,0.167,0.042,0.042,0,0,0,0,0,0,0,0,0,0.625,1.841,0.646,,
"D - APP - A",3.818,3.077,3.231,2.231,3.077,3.077,2.385,1.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.273,3.077,2.692,3,2.538,3,2.923,2.385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.55,1.1,,
"D - APP - B",4,4,2,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,3,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.133,1.017,0.767,,
"D - APP - C",2.829,2.725,2.825,2.61,2.878,2.488,2.463,1.488,0.188,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.073,2.475,2.675,2.927,2.488,2.585,2.39,2.902,1.375,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.85,0.917,,
"D - APP - D",4,3.333,1.333,2.667,2,3.667,2.333,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2.333,1.667,2,2.667,2.667,3,3.333,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.517,2.317,0.75,,
"D - APP - E",3.114,2.366,2.411,2.45,2.401,2.356,1.847,0.914,0.2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.573,2.346,2.337,2.397,2.577,2.422,2.424,1.943,0.633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1.683,0.95,,
"D - APP - F",2.943,2.385,2.358,2.096,2.49,2.306,1.96,1.521,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.075,1.865,2.415,2.058,2.314,2.531,2.32,2.521,1.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.167,0.833,,
"D - APP - G",2.84,2.08,2.32,2.25,1.846,2.04,1.6,0.87,0.222,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.12,2.04,2.08,2.458,2.192,2.28,1.4,1.87,1.111,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883,1.683,0.667,,
